id,Code,Name,Raion,Street,House,Lat,Lon,text
20039,641.0,город Екатеринбург,Чкаловский район,Походная,76,56.774044999999994,60.632291,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Походная
20040,641.0,город Екатеринбург,Чкаловский район,Революции,,56.746279,60.693577000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Революции
20041,641.0,город Екатеринбург,Чкаловский район,Тружеников,2Б,56.747016,60.691353,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Тружеников
20043,641.0,город Екатеринбург,Чкаловский район,Кутузова,15,56.745720999999996,60.68248199999999,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Кутузова
20044,641.0,город Екатеринбург,Чкаловский район,Караванная,11,56.74929,60.679843999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Караванная
20045,641.0,город Екатеринбург,Чкаловский район,Пархоменко,39,56.748101,60.68036899999999,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Пархоменко
20046,641.0,город Екатеринбург,Чкаловский район,Караванная,11,56.749441000000004,60.679823,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Караванная
20049,641.0,город Екатеринбург,Чкаловский район,Кутузова,52,56.748817,60.678118999999995,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Кутузова
20050,641.0,город Екатеринбург,Чкаловский район,Амбулаторная,12,56.722058999999994,60.642839,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Амбулаторная
20051,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,38,56.71948199999999,60.632174,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20052,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,35,56.720231000000005,60.62996700000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20053,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,35,56.720068000000005,60.629405000000006,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20054,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,25А,56.72075,60.636756999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20057,641.0,город Екатеринбург,Чкаловский район,Москвина,3,56.721651,60.636405,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Москвина
20058,641.0,город Екатеринбург,Чкаловский район,Москвина,3,56.721885,60.635633,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Москвина
20059,641.0,город Екатеринбург,Чкаловский район,Москвина,3,56.722083999999995,60.63601800000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Москвина
20060,641.0,город Екатеринбург,Чкаловский район,Адмирала Ушакова,13,56.724663,60.644884,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Адмирала Ушакова
20061,641.0,город Екатеринбург,Чкаловский район,Аксакова,84,56.747294999999994,60.674082999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Аксакова
20062,641.0,город Екатеринбург,Чкаловский район,Вакина,50,56.747538,60.675325,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Вакина
20063,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73579300000001,60.70171,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20065,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73549499999999,60.700948,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20067,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.7351,60.699865,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20069,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.734906,60.698427,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20071,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73426,60.69891,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20073,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73444,60.698581999999995,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20075,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.733755,60.696537,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20077,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.732307999999996,60.695724,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20079,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.732202,60.69508100000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20081,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.731446999999996,60.69419,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20083,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.731916000000005,60.694405,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20085,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.732288,60.69404,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20087,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.738275,60.697433,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20089,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.739954000000004,60.69818000000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20091,641.0,город Екатеринбург,Чкаловский район,Димитрова,80,56.737651,60.70196,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Димитрова
20092,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73689,60.700164,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20094,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.737706,60.701648,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20096,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.735062,60.704243000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20098,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73488100000001,60.701809999999995,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20100,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.735175,60.702047,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20102,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73595600000001,60.703604000000006,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20104,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.733141,60.694862,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20106,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.734007999999996,60.693194999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20108,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.734374,60.693841000000006,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
